"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1701,"John Barnhill",0.0453032405211299,1345,0.0453032405211299,2764,0,-2.32125642546288,0.0453032405211299,"PG",23.4983974358974,14663,624,10,1963,1972,"STL",6,"barnhjo01"
1702,"Phil Hankinson",0.0450572376376335,2775,0,1377,0.0450572376376335,-2.74973904314108,0.0450572376376335,"SF",5.57142857142857,195,35,2,1974,1975,"BOS",1,"hankiph01"
1703,"David Vaughn",0.0449071737466275,2775,0,1378,0.0449071737466275,-5.0271974425925,0.0449071737466275,"PF",9.72268907563025,1157,119,4,1996,1999,"NJN",4,"vaughda02"
1704,"Reggie Williams",0.044551010531742,1349,0.044551010531742,2764,0,-1.61782510891706,0.044551010531742,"SF",18.285,3657,200,6,2010,2015,"CHA",4,"willire02"
1705,"Sean Rooks",0.0444100492121427,2775,0,1379,0.0444100492121427,-2.53518201475089,0.0444100492121427,"C",17.754498714653,13813,778,12,1993,2004,"LAL",7,"rooksse01"
1706,"Steve Hayes",0.0441955823885126,2775,0,1380,0.0441955823885126,-2.8332379130261,0.0441955823885126,"C",10.7840375586854,2297,213,5,1982,1986,"UTA",6,"hayesst01"
1707,"Bob Hopkins",0.0438406832419587,2775,0,1381,0.0438406832419587,-1.37661744579286,0.0438406832419587,"PF",18.7491408934708,5456,291,4,1957,1960,"SYR",1,"hopkibo01"
1708,"Kelenna Azubuike",0.0432501235939616,1350,0.0432501235939616,2764,0,-0.976690247771213,0.0432501235939616,"SG",23.4651162790698,5045,215,5,2007,2012,"GSW",2,"azubuke01"
1709,"Marc Jackson",0.0431332721063568,2775,0,1383,0.0431332721063568,-2.53802188527543,0.0431332721063568,"C",19.4185463659148,7748,399,7,2001,2007,"MIN",5,"jacksma02"
1710,"Gary Neal",0.0422145611559384,2775,0,1385,0.0422145611559384,-2.27041990206259,0.0422145611559384,"SG",21.0712328767123,7691,365,6,2011,2016,"SAS",6,"nealga01"
1711,"Maury King",0.0421375899658472,1355,0.0421375899658472,2764,0,-3.92314872006874,0.0421375899658472,"PG",25.6052631578947,973,38,2,1960,1963,"BOS",2,"kingma01"
1712,"Al Smith",0.0419895038702181,2775,0,1386,0.0419895038702181,-1.68252422347109,0.0419895038702181,"PG",26.5352112676056,9420,355,5,1972,1976,"DNR",2,"smithal01"
1713,"Patrick Ewing",0.0418506191874295,2775,0,1388,0.0418506191874295,-7.93753833305453,0.0418506191874295,"SF",2.33333333333333,21,9,1,2011,2011,"NOH",1,"ewingpa02"
1714,"Keith Jennings",0.0418446216631852,1356,0.0418446216631852,2764,0,-0.581084346506193,0.0418446216631852,"PG",17.9281437125749,2994,167,3,1993,1995,"GSW",1,"jennike01"
