"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
175,"Bill Walton",22.8075524790105,3.16401738912521,5.68665564752727,"C",27.9439071566731,14447,517,10,1975,1987,4,"waltobi01"
176,"Mack Calvin",22.6977099915043,1.43873894275717,3.7657769410324,"PG",28.708082026538,23799,829,11,1970,1981,10,"calvima01"
177,"Derek Harper",22.6426930276033,1.0392399360841,4.05243010471587,"PG",31.5432098765432,40880,1296,16,1984,1999,4,"harpede01"
178,"Terrell Brandon",22.598249471313,2.16547945524371,6.28678258120213,"PG",29.5157480314961,22491,762,11,1992,2002,3,"brandte01"
179,"Tiny Archibald",22.2989970652381,1.34402772690388,7.52732424686717,"PG",35.5373781148429,32801,923,13,1971,1984,6,"architi01"
180,"Earl Monroe",22.1205626609892,1.31883902801882,3.34171544395047,"SG",32.094246031746,32351,1008,13,1968,1980,2,"monroea01"
181,"Gilbert Arenas",22.0084085340463,2.41748889655862,7.20707876426911,"PG",34.7907375643225,20283,583,11,2002,2012,4,"arenagi01"
182,"Alvin Robertson",21.9272536232752,2.24387604230671,5.0373631535329,"SG",31.7664141414141,25159,792,10,1985,1996,4,"roberal01"
183,"Rod Strickland",21.796459762546,1.45734442687617,3.82251096516403,"PG",30.7425828970332,35231,1146,17,1989,2005,10,"stricro02"
184,"Dale Davis",21.7611289319876,1.70854723407123,1.99098323191886,"C",27.0251827782291,33268,1231,16,1992,2007,4,"davisda01"
185,"Carlos Boozer",21.6834450070425,1.52241943706807,4.13350269954536,"PF",31.6133474576271,29843,944,13,2003,2015,4,"boozeca01"
186,"Bryon Russell",21.5098651042427,1.38772926126871,3.14476623518216,"SF",24.1923890063425,22886,946,13,1994,2006,4,"russebr01"
187,"Brad Miller",21.4235099412683,1.99881070180691,4.14453959114634,"C",28.1742919389978,25864,918,14,1999,2012,6,"millebr01"
188,"Happy Hairston",21.4171372767298,1.78110336424022,3.79647501626478,"PF",31.1834319526627,26350,845,11,1965,1975,3,"hairsha01"
189,"Kevin Love",21.2308872300281,3.48381609718361,8.9112554890561,"PF",32.9385964912281,15020,456,8,2009,2016,2,"loveke01"
190,"Paul Silas",21.1787095021584,0.583366411929446,4.62784805081501,"PF",27.9520112914608,39608,1417,16,1965,1980,6,"silaspa01"
191,"Dan Roundfield",21.0993976999572,1.85907362989045,3.61692455450041,"PF",29.9402110199297,25539,853,12,1976,1987,5,"roundda01"
192,"David Thompson",20.9556730959627,2.03679606770337,4.86573310971244,"SG",33.0458860759494,20885,632,9,1976,1984,3,"thompda01"
193,"Freddie Lewis",20.9521212850704,0.986732420896657,4.66585883251494,"PG",33.8579743888242,29084,859,11,1967,1977,5,"lewisfr02"
